#Timeout: 10
#Number of formulas: 1000
Formula;  sat; time; check
eq-hard.txt.smt2; sat         	;0.6 ;	 True
eq-hard2.txt.smt2; unsat      	;0.62
eq-hard3.txt.smt2; sat        	;1.97;	 True
eq-hard4.txt.smt2; unsat      	;0.95
eq-test-const.txt.smt2; unsat 	;0.06
eq-test.txt.smt2; sat         	;0.36;	 True
eq-test2.txt.smt2; sat        	;0.21;	 True
eq-test3.txt.smt2; unsat      	;0.08
eq-test4.txt.smt2; unsat      	;0.21
eq-test5.txt.smt2; unsat      	;0.06
eq-test6.txt.smt2; sat        	;4.38;	 True
eq-test7.txt.smt2; unsat      	;0.77
eq1.txt.smt2; TO              	;TO  ;	 TO
eq10.txt.smt2; sat            	;0.39;	 True
eq100.txt.smt2; TO            	;TO  ;	 TO
eq101.txt.smt2; TO            	;TO  ;	 TO
eq102.txt.smt2; sat           	;0.39;	 True
eq103.txt.smt2; sat           	;5.11;	 True
eq104.txt.smt2; sat           	;9.03;	 True
eq105.txt.smt2; TO            	;TO  ;	 TO
eq106.txt.smt2; sat           	;0.34;	 True
eq107.txt.smt2; TO            	;TO  ;	 TO
eq108.txt.smt2; sat           	;0.4 ;	 True
eq109.txt.smt2; sat           	;8.9 ;	 True
eq11.txt.smt2; TO             	;TO  ;	 TO
eq110.txt.smt2; TO            	;TO  ;	 TO
eq111.txt.smt2; TO            	;TO  ;	 TO
eq112.txt.smt2; sat           	;9.44;	 True
eq113.txt.smt2; TO            	;TO  ;	 TO
eq114.txt.smt2; sat           	;8.7 ;	 True
eq115.txt.smt2; sat           	;4.43;	 True
eq116.txt.smt2; TO            	;TO  ;	 TO
eq117.txt.smt2; TO            	;TO  ;	 TO
eq118.txt.smt2; sat           	;0.39;	 True
eq119.txt.smt2; sat           	;9.09;	 True
eq12.txt.smt2; TO             	;TO  ;	 TO
eq120.txt.smt2; sat           	;0.4 ;	 True
eq121.txt.smt2; sat           	;5.1 ;	 True
eq122.txt.smt2; sat           	;4.96;	 True
eq123.txt.smt2; sat           	;9.28;	 True
eq124.txt.smt2; sat           	;4.01;	 True
eq125.txt.smt2; TO            	;TO  ;	 TO
eq126.txt.smt2; sat           	;5.07;	 True
eq127.txt.smt2; TO            	;TO  ;	 TO
eq128.txt.smt2; TO            	;TO  ;	 TO
eq129.txt.smt2; sat           	;5.21;	 True
eq13.txt.smt2; TO             	;TO  ;	 TO
eq130.txt.smt2; sat           	;9.31;	 True
eq131.txt.smt2; sat           	;3.16;	 True
eq132.txt.smt2; TO            	;TO  ;	 TO
eq133.txt.smt2; TO            	;TO  ;	 TO
eq134.txt.smt2; sat           	;8.43;	 True
eq135.txt.smt2; TO            	;TO  ;	 TO
eq136.txt.smt2; sat           	;5.23;	 True
eq137.txt.smt2; sat           	;8.83;	 True
eq138.txt.smt2; sat           	;4.44;	 True
eq139.txt.smt2; sat           	;5.11;	 True
eq14.txt.smt2; sat            	;4.37;	 True
eq140.txt.smt2; TO            	;TO  ;	 TO
eq141.txt.smt2; sat           	;8.7 ;	 True
eq142.txt.smt2; sat           	;4.39;	 True
eq143.txt.smt2; TO            	;TO  ;	 TO
eq144.txt.smt2; TO            	;TO  ;	 TO
eq145.txt.smt2; sat           	;5.13;	 True
eq146.txt.smt2; sat           	;7.37;	 True
eq147.txt.smt2; sat           	;0.39;	 True
eq148.txt.smt2; TO            	;TO  ;	 TO
eq149.txt.smt2; TO            	;TO  ;	 TO
eq15.txt.smt2; TO             	;TO  ;	 TO
eq150.txt.smt2; sat           	;8.67;	 True
eq151.txt.smt2; sat           	;9.24;	 True
eq152.txt.smt2; TO            	;TO  ;	 TO
eq153.txt.smt2; TO            	;TO  ;	 TO
eq154.txt.smt2; TO            	;TO  ;	 TO
eq155.txt.smt2; TO            	;TO  ;	 TO
eq156.txt.smt2; sat           	;5.94;	 True
eq157.txt.smt2; sat           	;8.95;	 True
eq158.txt.smt2; TO            	;TO  ;	 TO
eq159.txt.smt2; sat           	;5.33;	 True
eq16.txt.smt2; sat            	;4.22;	 True
eq160.txt.smt2; TO            	;TO  ;	 TO
eq161.txt.smt2; sat           	;8.85;	 True
eq162.txt.smt2; TO            	;TO  ;	 TO
eq163.txt.smt2; TO            	;TO  ;	 TO
eq164.txt.smt2; TO            	;TO  ;	 TO
eq165.txt.smt2; sat           	;0.39;	 True
eq166.txt.smt2; sat           	;4.41;	 True
eq167.txt.smt2; TO            	;TO  ;	 TO
eq168.txt.smt2; TO            	;TO  ;	 TO
eq169.txt.smt2; TO            	;TO  ;	 TO
eq17.txt.smt2; sat            	;4.33;	 True
eq170.txt.smt2; sat           	;5.22;	 True
eq171.txt.smt2; TO            	;TO  ;	 TO
eq172.txt.smt2; sat           	;5.32;	 True
eq173.txt.smt2; TO            	;TO  ;	 TO
eq174.txt.smt2; TO            	;TO  ;	 TO
eq175.txt.smt2; sat           	;5.1 ;	 True
eq176.txt.smt2; sat           	;9.28;	 True
eq177.txt.smt2; TO            	;TO  ;	 TO
eq178.txt.smt2; TO            	;TO  ;	 TO
eq179.txt.smt2; TO            	;TO  ;	 TO
eq18.txt.smt2; TO             	;TO  ;	 TO
eq180.txt.smt2; sat           	;0.34;	 True
eq181.txt.smt2; sat           	;0.4 ;	 True
eq182.txt.smt2; TO            	;TO  ;	 TO
eq183.txt.smt2; sat           	;9.4 ;	 True
eq184.txt.smt2; sat           	;5.09;	 True
eq185.txt.smt2; TO            	;TO  ;	 TO
eq186.txt.smt2; sat           	;0.4 ;	 True
eq187.txt.smt2; sat           	;5.07;	 True
eq188.txt.smt2; TO            	;TO  ;	 TO
