#Timeout: 10
#Number of formulas: 1000
Formula;sat;time;aux
eq10.txt.smt2;sat;0.22;True
eq100.txt.smt2;sat;0.87;True
eq101.txt.smt2;TO;TO;TO
eq102.txt.smt2;sat;0.22;True
eq103.txt.smt2;sat;0.26;True
eq104.txt.smt2;sat;0.32;True
eq105.txt.smt2;sat;0.38;True
eq106.txt.smt2;sat;0.22;True
eq107.txt.smt2;sat;0.4;True
eq108.txt.smt2;sat;0.23;True
eq109.txt.smt2;sat;0.39;True
eq11.txt.smt2;sat;0.4;True
eq110.txt.smt2;sat;1.42;True
eq111.txt.smt2;sat;1.34;True
eq112.txt.smt2;sat;0.39;True
eq113.txt.smt2;sat;0.33;True
eq114.txt.smt2;sat;0.33;True
eq115.txt.smt2;sat;0.26;True
eq116.txt.smt2;sat;0.33;True
eq117.txt.smt2;sat;0.4;True
eq118.txt.smt2;sat;0.22;True
eq119.txt.smt2;sat;0.4;True
eq12.txt.smt2;sat;3.58;True
eq120.txt.smt2;sat;0.22;True
eq121.txt.smt2;sat;0.26;True
eq122.txt.smt2;sat;0.27;True
eq123.txt.smt2;sat;0.39;True
eq124.txt.smt2;sat;0.28;True
eq125.txt.smt2;sat;0.33;True
eq126.txt.smt2;sat;0.27;True
eq127.txt.smt2;sat;0.4;True
eq128.txt.smt2;sat;0.33;True
eq129.txt.smt2;sat;0.27;True
eq13.txt.smt2;sat;0.38;True
eq130.txt.smt2;sat;0.39;True
eq131.txt.smt2;sat;0.23;True
eq132.txt.smt2;sat;0.4;True
eq133.txt.smt2;sat;0.33;True
eq134.txt.smt2;sat;0.32;True
eq135.txt.smt2;TO;TO;TO
eq136.txt.smt2;sat;0.24;True
eq137.txt.smt2;sat;0.35;True
eq138.txt.smt2;sat;0.26;True
eq139.txt.smt2;sat;0.27;True
eq14.txt.smt2;sat;0.26;True
eq140.txt.smt2;sat;0.4;True
eq141.txt.smt2;sat;0.33;True
eq142.txt.smt2;sat;0.26;True
eq143.txt.smt2;sat;0.33;True
eq144.txt.smt2;sat;1.07;True
eq145.txt.smt2;sat;0.23;True
eq146.txt.smt2;sat;0.26;True
eq147.txt.smt2;sat;0.23;True
eq148.txt.smt2;TO;TO;TO
eq149.txt.smt2;sat;0.38;True
eq15.txt.smt2;sat;0.4;True
eq150.txt.smt2;sat;0.33;True
eq151.txt.smt2;sat;0.33;True
eq152.txt.smt2;sat;0.33;True
eq153.txt.smt2;sat;0.4;True
eq154.txt.smt2;sat;1.07;True
eq155.txt.smt2;sat;0.33;True
eq156.txt.smt2;sat;0.34;True
eq157.txt.smt2;sat;0.32;True
eq158.txt.smt2;sat;0.4;True
eq159.txt.smt2;sat;0.26;True
eq16.txt.smt2;sat;0.26;True
eq160.txt.smt2;sat;0.33;True
eq161.txt.smt2;sat;0.4;True
eq162.txt.smt2;sat;0.88;True
eq163.txt.smt2;sat;1.08;True
eq164.txt.smt2;sat;0.38;True
eq165.txt.smt2;sat;0.22;True
eq166.txt.smt2;sat;0.26;True
eq167.txt.smt2;sat;1.09;True
eq168.txt.smt2;sat;0.97;True
eq169.txt.smt2;sat;0.4;True
eq17.txt.smt2;sat;0.26;True
eq170.txt.smt2;sat;0.27;True
eq171.txt.smt2;sat;0.33;True
eq172.txt.smt2;sat;0.26;True
eq173.txt.smt2;sat;0.33;True
eq174.txt.smt2;sat;0.33;True
eq175.txt.smt2;sat;0.27;True
eq176.txt.smt2;sat;0.39;True
eq177.txt.smt2;sat;1.09;True
eq178.txt.smt2;sat;0.33;True
eq179.txt.smt2;sat;0.38;True
eq18.txt.smt2;sat;0.32;True
eq180.txt.smt2;sat;0.22;True
eq181.txt.smt2;sat;0.22;True
eq182.txt.smt2;sat;0.4;True
eq183.txt.smt2;sat;0.39;True
eq184.txt.smt2;sat;0.26;True
eq185.txt.smt2;sat;0.33;True
eq186.txt.smt2;sat;0.22;True
eq187.txt.smt2;sat;0.27;True
eq188.txt.smt2;TO;TO;TO
eq189.txt.smt2;sat;0.4;True
eq19.txt.smt2;sat;0.33;True
eq190.txt.smt2;sat;0.26;True
eq191.txt.smt2;sat;0.39;True
eq192.txt.smt2;sat;0.4;True
eq193.txt.smt2;sat;0.23;True
eq194.txt.smt2;sat;0.4;True
eq195.txt.smt2;sat;0.33;True
eq196.txt.smt2;sat;0.22;True
eq197.txt.smt2;sat;0.38;True
eq198.txt.smt2;sat;0.38;True
eq199.txt.smt2;sat;0.39;True
eq2.txt.smt2;sat;0.12;True
eq20.txt.smt2;sat;1.09;True
eq200.txt.smt2;sat;0.23;True
