#Timeout: 10
#Number of formulas: 100000
#formula;sat;time;aux
eq10.txt.smt2;sat;0.25;
eq100.txt.smt2;sat;1.2;
eq101.txt.smt2;TO;TO;TO
eq102.txt.smt2;sat;0.23;
eq103.txt.smt2;sat;0.27;
eq104.txt.smt2;sat;0.37;
eq105.txt.smt2;sat;0.43;
eq106.txt.smt2;sat;0.23;
eq107.txt.smt2;sat;0.45;
eq108.txt.smt2;sat;0.22;
eq109.txt.smt2;sat;0.4;
eq11.txt.smt2;sat;0.45;
eq110.txt.smt2;sat;1.42;
eq111.txt.smt2;sat;1.32;
eq112.txt.smt2;sat;0.4;
eq113.txt.smt2;sat;0.38;
eq114.txt.smt2;sat;0.35;
eq115.txt.smt2;sat;0.26;
eq116.txt.smt2;sat;0.37;
eq117.txt.smt2;sat;0.45;
eq118.txt.smt2;sat;0.23;
eq119.txt.smt2;sat;0.4;
eq12.txt.smt2;sat;4.84;
eq120.txt.smt2;sat;0.2;
eq121.txt.smt2;sat;0.27;
eq122.txt.smt2;sat;0.27;
eq123.txt.smt2;sat;0.4;
eq124.txt.smt2;sat;0.31;
eq125.txt.smt2;sat;0.36;
eq126.txt.smt2;sat;0.27;
eq127.txt.smt2;sat;0.45;
eq128.txt.smt2;sat;0.37;
eq129.txt.smt2;sat;0.27;
eq13.txt.smt2;sat;0.43;
eq130.txt.smt2;sat;0.4;
eq131.txt.smt2;sat;0.23;
eq132.txt.smt2;sat;0.45;
eq133.txt.smt2;sat;0.38;
eq134.txt.smt2;sat;0.37;
eq135.txt.smt2;TO;TO;TO
eq136.txt.smt2;sat;0.24;
eq137.txt.smt2;sat;0.4;
eq138.txt.smt2;sat;0.27;
eq139.txt.smt2;sat;0.27;
eq14.txt.smt2;sat;0.27;
eq140.txt.smt2;sat;0.45;
eq141.txt.smt2;sat;0.37;
eq142.txt.smt2;sat;0.27;
eq143.txt.smt2;sat;0.37;
eq144.txt.smt2;sat;1.43;
eq145.txt.smt2;sat;0.27;
eq146.txt.smt2;sat;0.33;
eq147.txt.smt2;sat;0.22;
eq148.txt.smt2;TO;TO;TO
eq149.txt.smt2;sat;0.43;
eq15.txt.smt2;sat;0.45;
eq150.txt.smt2;sat;0.36;
eq151.txt.smt2;sat;0.37;
eq152.txt.smt2;sat;0.37;
eq153.txt.smt2;sat;0.45;
eq154.txt.smt2;sat;1.33;
eq155.txt.smt2;sat;0.37;
eq156.txt.smt2;sat;0.35;
eq157.txt.smt2;sat;0.37;
eq158.txt.smt2;sat;0.45;
eq159.txt.smt2;sat;0.27;
eq16.txt.smt2;sat;0.27;
eq160.txt.smt2;sat;0.38;
eq161.txt.smt2;sat;0.4;
eq162.txt.smt2;sat;1.21;
eq163.txt.smt2;sat;1.26;
eq164.txt.smt2;sat;0.42;
eq165.txt.smt2;sat;0.23;
eq166.txt.smt2;sat;0.26;
eq167.txt.smt2;sat;1.33;
eq168.txt.smt2;sat;1.34;
eq169.txt.smt2;sat;0.45;
eq17.txt.smt2;sat;0.27;
eq170.txt.smt2;sat;0.27;
eq171.txt.smt2;sat;0.37;
eq172.txt.smt2;sat;0.27;
eq173.txt.smt2;sat;0.37;
eq174.txt.smt2;sat;0.37;
eq175.txt.smt2;sat;0.27;
eq176.txt.smt2;sat;0.4;
