#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
eq10.txt.smt2; sat                         ;	 0.06
eq100.txt.smt2; TO                         ;	 TO
eq101.txt.smt2; TO                         ;	 TO
eq102.txt.smt2; sat                        ;	 0.09
eq103.txt.smt2; TO                         ;	 TO
eq104.txt.smt2; sat                        ;	 0.16
eq105.txt.smt2; sat                        ;	 0.05
eq106.txt.smt2; sat                        ;	 0.05
eq107.txt.smt2; sat                        ;	 0.98
eq108.txt.smt2; sat                        ;	 0.05
eq109.txt.smt2; sat                        ;	 0.55
eq11.txt.smt2; TO                          ;	 TO
eq110.txt.smt2; TO                         ;	 TO
eq111.txt.smt2; TO                         ;	 TO
eq112.txt.smt2; sat                        ;	 0.92
eq113.txt.smt2; sat                        ;	 0.17
eq114.txt.smt2; sat                        ;	 0.05
eq115.txt.smt2; sat                        ;	 0.14
eq116.txt.smt2; sat                        ;	 0.51
eq117.txt.smt2; sat                        ;	 0.19
eq118.txt.smt2; sat                        ;	 0.1
eq119.txt.smt2; TO                         ;	 TO
eq12.txt.smt2; sat                         ;	 0.24
eq120.txt.smt2; sat                        ;	 0.05
eq121.txt.smt2; sat                        ;	 0.09
eq122.txt.smt2; sat                        ;	 0.09
eq123.txt.smt2; TO                         ;	 TO
eq124.txt.smt2; sat                        ;	 0.13
eq125.txt.smt2; TO                         ;	 TO
eq126.txt.smt2; sat                        ;	 0.37
eq127.txt.smt2; sat                        ;	 0.17
eq128.txt.smt2; TO                         ;	 TO
eq129.txt.smt2; sat                        ;	 0.09
eq13.txt.smt2; sat                         ;	 0.12
eq130.txt.smt2; sat                        ;	 5.84
eq131.txt.smt2; sat                        ;	 0.08
eq132.txt.smt2; sat                        ;	 0.23
eq133.txt.smt2; TO                         ;	 TO
eq134.txt.smt2; sat                        ;	 0.09
eq135.txt.smt2; TO                         ;	 TO
eq136.txt.smt2; sat                        ;	 0.13
eq137.txt.smt2; TO                         ;	 TO
eq138.txt.smt2; sat                        ;	 0.08
eq139.txt.smt2; sat                        ;	 1.22
eq14.txt.smt2; sat                         ;	 0.18
eq140.txt.smt2; sat                        ;	 0.1
eq141.txt.smt2; sat                        ;	 0.03
eq142.txt.smt2; sat                        ;	 0.05
eq143.txt.smt2; TO                         ;	 TO
eq144.txt.smt2; TO                         ;	 TO
eq145.txt.smt2; sat                        ;	 0.09
eq146.txt.smt2; sat                        ;	 0.33
eq147.txt.smt2; sat                        ;	 0.05
eq148.txt.smt2; TO                         ;	 TO
eq149.txt.smt2; sat                        ;	 0.12
eq15.txt.smt2; sat                         ;	 0.13
eq150.txt.smt2; sat                        ;	 0.13
eq151.txt.smt2; sat                        ;	 0.11
eq152.txt.smt2; TO                         ;	 TO
eq153.txt.smt2; sat                        ;	 0.05
eq154.txt.smt2; TO                         ;	 TO
eq155.txt.smt2; TO                         ;	 TO
eq156.txt.smt2; TO                         ;	 TO
eq157.txt.smt2; sat                        ;	 0.1
eq158.txt.smt2; sat                        ;	 0.09
eq159.txt.smt2; sat                        ;	 0.06
eq16.txt.smt2; sat                         ;	 0.18
eq160.txt.smt2; TO                         ;	 TO
eq161.txt.smt2; sat                        ;	 0.44
eq162.txt.smt2; TO                         ;	 TO
eq163.txt.smt2; TO                         ;	 TO
eq164.txt.smt2; sat                        ;	 0.1
eq165.txt.smt2; sat                        ;	 0.11
eq166.txt.smt2; sat                        ;	 0.08
eq167.txt.smt2; TO                         ;	 TO
eq168.txt.smt2; TO                         ;	 TO
eq169.txt.smt2; sat                        ;	 0.14
eq17.txt.smt2; sat                         ;	 0.39
