#Timeout: 20
#Number of formulas: 100000
#formula;sat;time;aux
all.txt.smt2;sat;0.06;
eq0.txt.smt2;unsat;0.07;
eq1.txt.smt2;unsat;0.07;
eq10.txt.smt2;unsat;0.07;
eq100.txt.smt2;sat;6.34;
eq1000.txt.smt2;unsat;0.07;
eq10000.txt.smt2;TO;TO;TO
eq10001.txt.smt2;unsat;0.07;
eq10002.txt.smt2;unsat;0.07;
eq10003.txt.smt2;unsat;0.07;
eq10004.txt.smt2;unsat;0.07;
eq10005.txt.smt2;sat;6.76;
eq10006.txt.smt2;unsat;0.07;
eq10007.txt.smt2;unsat;0.07;
eq10008.txt.smt2;unsat;0.07;
eq10009.txt.smt2;unsat;0.07;
eq1001.txt.smt2;unsat;0.07;
eq10010.txt.smt2;unsat;0.07;
eq10011.txt.smt2;unsat;0.07;
eq10012.txt.smt2;unsat;0.07;
eq10013.txt.smt2;sat;9.49;
eq10014.txt.smt2;unsat;0.9;
eq10015.txt.smt2;sat;8.46;
eq10016.txt.smt2;sat;8.39;
eq10017.txt.smt2;sat;9.45;
eq10018.txt.smt2;sat;10.7;
eq10019.txt.smt2;TO;TO;TO
eq1002.txt.smt2;unsat;0.07;
eq10020.txt.smt2;TO;TO;TO
eq10021.txt.smt2;TO;TO;TO
eq10022.txt.smt2;TO;TO;TO
eq10023.txt.smt2;sat;9.31;
eq10024.txt.smt2;sat;9.09;
eq10025.txt.smt2;sat;8.44;
eq10026.txt.smt2;sat;9.27;
eq10027.txt.smt2;sat;10.62;
eq10028.txt.smt2;unsat;0.07;
eq10029.txt.smt2;unsat;0.07;
eq1003.txt.smt2;unsat;0.07;
eq10030.txt.smt2;unsat;0.07;
eq10031.txt.smt2;unsat;0.07;
eq10032.txt.smt2;sat;6.29;
eq10033.txt.smt2;sat;5.82;
eq10034.txt.smt2;TO;TO;TO
eq10035.txt.smt2;TO;TO;TO
eq10036.txt.smt2;unsat;0.06;
eq10037.txt.smt2;unsat;0.06;
eq10038.txt.smt2;unsat;0.07;
eq10039.txt.smt2;unsat;0.07;
eq1004.txt.smt2;unsat;0.07;
eq10040.txt.smt2;unsat;0.07;
eq10041.txt.smt2;unsat;0.07;
eq10042.txt.smt2;unsat;0.07;
eq10043.txt.smt2;unsat;0.07;
eq10044.txt.smt2;unsat;0.07;
eq10045.txt.smt2;unsat;0.07;
eq10046.txt.smt2;unsat;0.07;
eq10047.txt.smt2;unsat;0.07;
eq10048.txt.smt2;unsat;0.06;
eq10049.txt.smt2;unsat;0.07;
eq1005.txt.smt2;unsat;0.07;
eq10050.txt.smt2;unsat;0.07;
eq10051.txt.smt2;unsat;0.07;
eq10052.txt.smt2;unsat;0.07;
eq10053.txt.smt2;unsat;0.07;
eq10054.txt.smt2;unsat;0.06;
eq10055.txt.smt2;unsat;0.07;
eq10056.txt.smt2;unsat;0.07;
eq10057.txt.smt2;unsat;0.06;
eq10058.txt.smt2;unsat;0.06;
eq10059.txt.smt2;unsat;0.07;
eq1006.txt.smt2;unsat;0.07;
eq10060.txt.smt2;unsat;0.07;
eq10061.txt.smt2;unsat;0.07;
eq10062.txt.smt2;unsat;0.07;
eq10063.txt.smt2;unsat;0.07;
eq10064.txt.smt2;unsat;0.07;
eq10065.txt.smt2;unsat;0.07;
eq10066.txt.smt2;unsat;0.07;
eq10067.txt.smt2;unsat;0.07;
eq10068.txt.smt2;unsat;0.07;
eq10069.txt.smt2;unsat;0.06;
eq1007.txt.smt2;unsat;0.07;
eq10070.txt.smt2;unsat;0.07;
eq10071.txt.smt2;unsat;0.06;
eq10072.txt.smt2;unsat;0.06;
eq10073.txt.smt2;sat;5.15;
eq10074.txt.smt2;TO;TO;TO
eq10075.txt.smt2;unsat;0.06;
eq10076.txt.smt2;sat;6.4;
eq10077.txt.smt2;unsat;0.07;
eq10078.txt.smt2;unsat;0.07;
eq10079.txt.smt2;TO;TO;TO
eq1008.txt.smt2;unsat;0.07;
eq10080.txt.smt2;unsat;0.07;
eq10081.txt.smt2;unsat;0.07;
eq10082.txt.smt2;unsat;0.07;
eq10083.txt.smt2;unsat;0.07;
eq10084.txt.smt2;unsat;0.07;
eq10085.txt.smt2;unsat;0.07;
eq10086.txt.smt2;unsat;0.07;
eq10087.txt.smt2;unsat;0.07;
eq10088.txt.smt2;unsat;0.07;
eq10089.txt.smt2;unsat;0.07;
eq1009.txt.smt2;unsat;0.07;
eq10090.txt.smt2;unsat;0.07;
eq10091.txt.smt2;unsat;0.07;
eq10092.txt.smt2;sat;6.3;
eq10093.txt.smt2;unsat;0.89;
eq10094.txt.smt2;unsat;1.04;
eq10095.txt.smt2;TO;TO;TO
eq10096.txt.smt2;unsat;0.07;
eq10097.txt.smt2;unsat;0.07;
eq10098.txt.smt2;unsat;0.07;
eq10099.txt.smt2;unsat;0.07;
eq101.txt.smt2;sat;5.32;
eq1010.txt.smt2;unsat;0.07;
eq10100.txt.smt2;TO;TO;TO
eq10101.txt.smt2;sat;6.04;
eq10102.txt.smt2;unsat;0.07;
eq10103.txt.smt2;unsat;0.07;
eq10104.txt.smt2;unsat;0.07;
eq10105.txt.smt2;unsat;0.07;
eq10106.txt.smt2;unsat;0.07;
eq10107.txt.smt2;unsat;0.07;
eq10108.txt.smt2;unsat;0.07;
eq10109.txt.smt2;unsat;0.07;
eq1011.txt.smt2;unsat;0.07;
eq10110.txt.smt2;unsat;0.07;
eq10111.txt.smt2;unsat;0.07;
eq10112.txt.smt2;unsat;0.07;
eq10113.txt.smt2;unsat;0.07;
eq10114.txt.smt2;unsat;0.07;
eq10115.txt.smt2;unsat;0.07;
eq10116.txt.smt2;unsat;0.07;
eq10117.txt.smt2;TO;TO;TO
eq10118.txt.smt2;TO;TO;TO
eq10119.txt.smt2;TO;TO;TO
eq1012.txt.smt2;unsat;0.07;
eq10120.txt.smt2;TO;TO;TO
eq10121.txt.smt2;TO;TO;TO
eq10122.txt.smt2;TO;TO;TO
eq10123.txt.smt2;TO;TO;TO
eq10124.txt.smt2;TO;TO;TO
eq10125.txt.smt2;unsat;0.07;
eq10126.txt.smt2;unsat;0.07;
eq10127.txt.smt2;unsat;0.07;
eq10128.txt.smt2;unsat;0.07;
eq10129.txt.smt2;unsat;0.07;
eq1013.txt.smt2;unsat;0.07;
eq10130.txt.smt2;unsat;0.07;
eq10131.txt.smt2;unsat;0.07;
eq10132.txt.smt2;unsat;0.07;
eq10133.txt.smt2;TO;TO;TO
eq10134.txt.smt2;TO;TO;TO
eq10135.txt.smt2;sat;5.54;
eq10136.txt.smt2;sat;5.98;
eq10137.txt.smt2;unsat;0.07;
eq10138.txt.smt2;unsat;0.06;
eq10139.txt.smt2;unsat;0.06;
eq1014.txt.smt2;unsat;0.07;
eq10140.txt.smt2;unsat;0.07;
eq10141.txt.smt2;unsat;0.07;
eq10142.txt.smt2;unsat;0.07;
eq10143.txt.smt2;unsat;0.07;
eq10144.txt.smt2;unsat;0.06;
eq10145.txt.smt2;unsat;0.07;
eq10146.txt.smt2;unsat;0.06;
eq10147.txt.smt2;unsat;0.07;
eq10148.txt.smt2;sat;5.08;
eq10149.txt.smt2;TO;TO;TO
eq1015.txt.smt2;unsat;0.07;
eq10150.txt.smt2;unsat;0.07;
eq10151.txt.smt2;TO;TO;TO
eq10152.txt.smt2;unsat;0.06;
eq10153.txt.smt2;sat;6.08;
eq10154.txt.smt2;unsat;0.07;
eq10155.txt.smt2;unsat;0.07;
eq10156.txt.smt2;unsat;0.07;
eq10157.txt.smt2;sat;18.3;
eq10158.txt.smt2;TO;TO;TO
eq10159.txt.smt2;unsat;0.07;
eq1016.txt.smt2;unsat;0.07;
eq10160.txt.smt2;unsat;0.06;
eq10161.txt.smt2;unsat;0.07;
eq10162.txt.smt2;unsat;0.06;
eq10163.txt.smt2;unsat;0.07;
eq10164.txt.smt2;unsat;0.07;
eq10165.txt.smt2;unsat;0.07;
eq10166.txt.smt2;unsat;0.07;
eq10167.txt.smt2;unsat;0.06;
eq10168.txt.smt2;unsat;0.07;
eq10169.txt.smt2;unsat;0.07;
eq1017.txt.smt2;unsat;0.07;
eq10170.txt.smt2;unsat;0.07;
eq10171.txt.smt2;unsat;0.07;
eq10172.txt.smt2;unsat;0.07;
eq10173.txt.smt2;unsat;0.07;
eq10174.txt.smt2;TO;TO;TO
eq10175.txt.smt2;unsat;0.07;
eq10176.txt.smt2;unsat;0.07;
eq10177.txt.smt2;unsat;0.06;
eq10178.txt.smt2;sat;6.11;
eq10179.txt.smt2;TO;TO;TO
eq1018.txt.smt2;unsat;0.06;
eq10180.txt.smt2;sat;4.83;
eq10181.txt.smt2;TO;TO;TO
eq10182.txt.smt2;unsat;0.06;
eq10183.txt.smt2;unsat;0.07;
eq10184.txt.smt2;unsat;0.07;
eq10185.txt.smt2;unsat;0.07;
eq10186.txt.smt2;unsat;0.06;
eq10187.txt.smt2;unsat;0.07;
eq10188.txt.smt2;unsat;0.07;
eq10189.txt.smt2;unsat;0.07;
eq1019.txt.smt2;unsat;0.07;
eq10190.txt.smt2;unsat;0.06;
eq10191.txt.smt2;unsat;0.07;
eq10192.txt.smt2;unsat;0.06;
eq10193.txt.smt2;sat;6.84;
eq10194.txt.smt2;unsat;0.06;
eq10195.txt.smt2;TO;TO;TO
eq10196.txt.smt2;unsat;0.07;
eq10197.txt.smt2;unsat;0.06;
eq10198.txt.smt2;unsat;0.07;
eq10199.txt.smt2;unsat;0.06;
eq102.txt.smt2;unsat;0.1;
eq1020.txt.smt2;unsat;0.07;
eq10200.txt.smt2;unsat;0.07;
eq10201.txt.smt2;unsat;0.07;
eq10202.txt.smt2;unsat;0.07;
eq10203.txt.smt2;unsat;0.06;
eq10204.txt.smt2;unsat;0.07;
eq10205.txt.smt2;unsat;0.07;
eq10206.txt.smt2;unsat;0.07;
eq10207.txt.smt2;unsat;0.07;
eq10208.txt.smt2;unsat;0.06;
eq10209.txt.smt2;unsat;0.06;
eq1021.txt.smt2;unsat;0.06;
eq10210.txt.smt2;unsat;0.06;
eq10211.txt.smt2;sat;0.06;
eq10212.txt.smt2;sat;5.66;
eq10213.txt.smt2;sat;5.45;
eq10214.txt.smt2;TO;TO;TO
eq10215.txt.smt2;TO;TO;TO
eq10216.txt.smt2;TO;TO;TO
eq10217.txt.smt2;sat;6.31;
eq10218.txt.smt2;sat;5.51;
eq10219.txt.smt2;unsat;0.06;
eq1022.txt.smt2;unsat;0.06;
eq10220.txt.smt2;unsat;0.07;
eq10221.txt.smt2;unsat;0.06;
eq10222.txt.smt2;unsat;0.06;
eq10223.txt.smt2;TO;TO;TO
eq10224.txt.smt2;sat;5.53;
eq10225.txt.smt2;sat;5.36;
eq10226.txt.smt2;TO;TO;TO
eq10227.txt.smt2;unsat;0.06;
eq10228.txt.smt2;unsat;0.07;
eq10229.txt.smt2;unsat;0.07;
eq1023.txt.smt2;unsat;0.07;
eq10230.txt.smt2;unsat;0.06;
eq10231.txt.smt2;unsat;0.07;
eq10232.txt.smt2;unsat;0.07;
eq10233.txt.smt2;unsat;0.07;
eq10234.txt.smt2;unsat;0.07;
eq10235.txt.smt2;unsat;0.07;
eq10236.txt.smt2;unsat;0.07;
eq10237.txt.smt2;unsat;0.07;
eq10238.txt.smt2;unsat;0.07;
eq10239.txt.smt2;unsat;0.07;
eq1024.txt.smt2;unsat;0.07;
eq10240.txt.smt2;unsat;0.07;
eq10241.txt.smt2;unsat;0.06;
eq10242.txt.smt2;unsat;0.06;
eq10243.txt.smt2;unsat;0.06;
eq10244.txt.smt2;unsat;0.07;
eq10245.txt.smt2;unsat;0.07;
eq10246.txt.smt2;unsat;0.07;
eq10247.txt.smt2;unsat;0.06;
eq10248.txt.smt2;unsat;0.07;
eq10249.txt.smt2;unsat;0.07;
eq1025.txt.smt2;unsat;0.07;
eq10250.txt.smt2;sat;4.95;
eq10251.txt.smt2;unsat;0.07;
eq10252.txt.smt2;sat;5.98;
eq10253.txt.smt2;unsat;0.06;
eq10254.txt.smt2;unsat;0.07;
eq10255.txt.smt2;TO;TO;TO
eq10256.txt.smt2;TO;TO;TO
eq10257.txt.smt2;unsat;0.07;
eq10258.txt.smt2;unsat;0.06;
eq10259.txt.smt2;unsat;0.07;
eq1026.txt.smt2;unsat;0.07;
eq10260.txt.smt2;sat;4.83;
eq10261.txt.smt2;sat;6.68;
eq10262.txt.smt2;TO;TO;TO
eq10263.txt.smt2;TO;TO;TO
eq10264.txt.smt2;sat;5.81;
eq10265.txt.smt2;TO;TO;TO
eq10266.txt.smt2;sat;18.11;
eq10267.txt.smt2;TO;TO;TO
eq10268.txt.smt2;unsat;0.06;
eq10269.txt.smt2;unsat;0.07;
eq1027.txt.smt2;unsat;0.07;
eq10270.txt.smt2;unsat;0.07;
eq10271.txt.smt2;unsat;0.06;
eq10272.txt.smt2;unsat;0.07;
eq10273.txt.smt2;unsat;0.07;
eq10274.txt.smt2;unsat;0.07;
eq10275.txt.smt2;unsat;0.07;
eq10276.txt.smt2;unsat;0.07;
eq10277.txt.smt2;unsat;0.07;
eq10278.txt.smt2;unsat;0.07;
eq10279.txt.smt2;unsat;0.07;
eq1028.txt.smt2;unsat;0.07;
eq10280.txt.smt2;unsat;0.07;
eq10281.txt.smt2;unsat;0.07;
eq10282.txt.smt2;unsat;0.07;
eq10283.txt.smt2;unsat;0.07;
eq10284.txt.smt2;unsat;0.06;
eq10285.txt.smt2;unsat;0.06;
eq10286.txt.smt2;unsat;0.06;
eq10287.txt.smt2;unsat;0.07;
eq10288.txt.smt2;unsat;0.07;
eq10289.txt.smt2;unsat;0.07;
eq1029.txt.smt2;unsat;0.07;
eq10290.txt.smt2;unsat;0.07;
eq10291.txt.smt2;unsat;0.07;
eq10292.txt.smt2;unsat;0.07;
eq10293.txt.smt2;unsat;0.07;
eq10294.txt.smt2;unsat;0.07;
eq10295.txt.smt2;unsat;0.06;
eq10296.txt.smt2;unsat;0.07;
eq10297.txt.smt2;unsat;0.07;
eq10298.txt.smt2;unsat;0.07;
eq10299.txt.smt2;unsat;0.06;
eq103.txt.smt2;unsat;0.1;
eq1030.txt.smt2;unsat;0.07;
eq10300.txt.smt2;unsat;0.07;
eq10301.txt.smt2;unsat;0.07;
eq10302.txt.smt2;unsat;0.07;
eq10303.txt.smt2;unsat;0.07;
eq10304.txt.smt2;unsat;0.07;
eq10305.txt.smt2;unsat;0.07;
eq10306.txt.smt2;unsat;0.07;
eq10307.txt.smt2;unsat;0.07;
eq10308.txt.smt2;unsat;0.07;
eq10309.txt.smt2;unsat;0.07;
eq1031.txt.smt2;unsat;0.07;
eq10310.txt.smt2;unsat;0.07;
eq10311.txt.smt2;unsat;0.07;
eq10312.txt.smt2;TO;TO;TO
eq10313.txt.smt2;unsat;0.07;
eq10314.txt.smt2;unsat;0.07;
eq10315.txt.smt2;unsat;0.07;
eq10316.txt.smt2;unsat;0.07;
eq10317.txt.smt2;unsat;0.07;
eq10318.txt.smt2;sat;6.3;
eq10319.txt.smt2;sat;4.97;
eq1032.txt.smt2;unsat;0.06;
eq10320.txt.smt2;sat;6.51;
eq10321.txt.smt2;TO;TO;TO
eq10322.txt.smt2;unsat;1.02;
eq10323.txt.smt2;sat;5.93;
eq10324.txt.smt2;sat;7.6;
eq10325.txt.smt2;sat;19.28;
eq10326.txt.smt2;TO;TO;TO
eq10327.txt.smt2;TO;TO;TO
eq10328.txt.smt2;unsat;0.99;
eq10329.txt.smt2;TO;TO;TO
eq1033.txt.smt2;unsat;0.07;
eq10330.txt.smt2;unsat;0.07;
eq10331.txt.smt2;unsat;0.07;
eq10332.txt.smt2;unsat;0.07;
eq10333.txt.smt2;unsat;0.07;
eq10334.txt.smt2;unsat;0.07;
eq10335.txt.smt2;unsat;0.07;
eq10336.txt.smt2;unsat;0.07;
eq10337.txt.smt2;unsat;0.07;
eq10338.txt.smt2;unsat;0.07;
eq10339.txt.smt2;unsat;0.07;
eq1034.txt.smt2;unsat;0.06;
eq10340.txt.smt2;unsat;0.07;
eq10341.txt.smt2;unsat;0.07;
eq10342.txt.smt2;unsat;0.07;
eq10343.txt.smt2;unsat;0.07;
eq10344.txt.smt2;unsat;0.07;
eq10345.txt.smt2;unsat;0.07;
eq10346.txt.smt2;unsat;0.06;
eq10347.txt.smt2;unsat;0.07;
eq10348.txt.smt2;unsat;0.06;
eq10349.txt.smt2;unsat;0.07;
eq1035.txt.smt2;unsat;0.07;
eq10350.txt.smt2;unsat;0.07;
eq10351.txt.smt2;unsat;0.07;
eq10352.txt.smt2;unsat;0.07;
eq10353.txt.smt2;unsat;0.07;
eq10354.txt.smt2;unsat;0.07;
eq10355.txt.smt2;unsat;0.07;
eq10356.txt.smt2;unsat;0.07;
eq10357.txt.smt2;unsat;0.07;
eq10358.txt.smt2;unsat;0.07;
eq10359.txt.smt2;unsat;0.07;
eq1036.txt.smt2;unsat;0.07;
eq10360.txt.smt2;unsat;0.07;
eq10361.txt.smt2;unsat;0.07;
eq10362.txt.smt2;unsat;0.07;
eq10363.txt.smt2;unsat;0.07;
eq10364.txt.smt2;unsat;0.07;
eq10365.txt.smt2;unsat;0.07;
eq10366.txt.smt2;unsat;0.07;
eq10367.txt.smt2;sat;6.76;
eq10368.txt.smt2;sat;7.35;
eq10369.txt.smt2;sat;6.23;
eq1037.txt.smt2;unsat;0.06;
eq10370.txt.smt2;TO;TO;TO
eq10371.txt.smt2;TO;TO;TO
eq10372.txt.smt2;TO;TO;TO
eq10373.txt.smt2;TO;TO;TO
eq10374.txt.smt2;unsat;0.07;
eq10375.txt.smt2;unsat;0.07;
eq10376.txt.smt2;unsat;0.07;
eq10377.txt.smt2;unsat;0.07;
eq10378.txt.smt2;sat;6.76;
eq10379.txt.smt2;unsat;0.07;
eq1038.txt.smt2;unsat;0.07;
eq10380.txt.smt2;unsat;0.06;
eq10381.txt.smt2;sat;6.62;
eq10382.txt.smt2;sat;6.21;
eq10383.txt.smt2;unsat;0.07;
eq10384.txt.smt2;unsat;0.07;
eq10385.txt.smt2;unsat;0.07;
eq10386.txt.smt2;unsat;0.07;
eq10387.txt.smt2;unsat;0.07;
eq10388.txt.smt2;sat;6.13;
eq10389.txt.smt2;unsat;0.07;
eq1039.txt.smt2;unsat;0.06;
eq10390.txt.smt2;TO;TO;TO
eq10391.txt.smt2;TO;TO;TO
eq10392.txt.smt2;TO;TO;TO
eq10393.txt.smt2;sat;5.47;
eq10394.txt.smt2;unsat;0.52;
eq10395.txt.smt2;unsat;0.45;
eq10396.txt.smt2;sat;5.16;
eq10397.txt.smt2;sat;6.69;
eq10398.txt.smt2;TO;TO;TO
eq10399.txt.smt2;unsat;0.36;
eq104.txt.smt2;unsat;0.11;
eq1040.txt.smt2;TO;TO;TO
eq10400.txt.smt2;sat;5.88;
eq10401.txt.smt2;TO;TO;TO
eq10402.txt.smt2;sat;5.16;
eq10403.txt.smt2;sat;5.0;
eq10404.txt.smt2;sat;7.04;
eq10405.txt.smt2;TO;TO;TO
eq10406.txt.smt2;TO;TO;TO
eq10407.txt.smt2;sat;5.91;
eq10408.txt.smt2;TO;TO;TO
eq10409.txt.smt2;sat;5.68;
eq1041.txt.smt2;TO;TO;TO
eq10410.txt.smt2;unsat;0.52;
eq10411.txt.smt2;sat;5.44;
eq10412.txt.smt2;TO;TO;TO
eq10413.txt.smt2;TO;TO;TO
eq10414.txt.smt2;sat;7.04;
eq10415.txt.smt2;TO;TO;TO
eq10416.txt.smt2;TO;TO;TO
eq10417.txt.smt2;sat;6.16;
eq10418.txt.smt2;sat;5.98;
eq10419.txt.smt2;TO;TO;TO
eq1042.txt.smt2;TO;TO;TO
eq10420.txt.smt2;sat;5.13;
