#Timeout: 10
#Number of formulas: 1000
Formula; sat; time
quad-002-1-unsat.smt2; TO            ;	 TO
quad-003-2-sat.smt2; sat             ;	 4.28
quad-004-2-unsat.smt2; TO            ;	 TO
quad-005-2-sat.smt2; TO              ;	 TO
quad-006-2-unsat.smt2; TO            ;	 TO
quad-007-2-sat.smt2; TO              ;	 TO
quad-008-2-unsat.smt2; TO            ;	 TO
quad-009-2-sat.smt2; TO              ;	 TO
quad-010-2-unsat.smt2; TO            ;	 TO
quad-011-2-sat.smt2; TO              ;	 TO
quad-012-2-unsat.smt2; TO            ;	 TO
quad-013-2-2-sat.smt2; sat           ;	 0.14
quad-014-2-2-unsat.smt2; TO          ;	 TO
quad-015-2-3-sat.smt2; TO            ;	 TO
quad-016-2-3-unsat.smt2; TO          ;	 TO
quad-017-2-4-sat.smt2; TO            ;	 TO
quad-018-2-4-unsat.smt2; TO          ;	 TO
quad-019-2-4-sat.smt2; sat           ;	 0.05
quad-020-2-4-unsat.smt2; TO          ;	 TO
quad-021-3-sat.smt2; TO              ;	 TO
quad-022-3-unsat.smt2; TO            ;	 TO
quad-023-3-sat.smt2; TO              ;	 TO
quad-024-3-unsat.smt2; TO            ;	 TO
quad-025-2-2-sat.smt2; sat           ;	 0.03
quad-026-2-2-unsat.smt2; TO          ;	 TO
quad-027-2-2-sat.smt2; TO            ;	 TO
quad-028-2-2-unsat.smt2; TO          ;	 TO
quad-029-3-1-sat.smt2; sat           ;	 0.05
quad-030-3-1-unsat.smt2; unsat       ;	 0.03
quad-031-3-1-sat.smt2; TO            ;	 TO
quad-032-3-1-unsat.smt2; TO          ;	 TO
quad-033-3-2-sat.smt2; sat           ;	 3.97
quad-034-3-2-unsat.smt2; TO          ;	 TO
quad-035-3-2-sat.smt2; TO            ;	 TO
quad-036-3-2-unsat.smt2; TO          ;	 TO
quad-037-3-2-sat.smt2; TO            ;	 TO
quad-038-3-2-unsat.smt2; TO          ;	 TO
quad-039-3-3-sat.smt2; TO            ;	 TO
quad-040-3-3-unsat.smt2; TO          ;	 TO
quad-041-3-4-sat.smt2; TO            ;	 TO
quad-042-3-4-unsat.smt2; TO          ;	 TO
quad-043-3-5-sat.smt2; TO            ;	 TO
quad-044-3-5-unsat.smt2; TO          ;	 TO
quad-045-3-6-sat.smt2; TO            ;	 TO
quad-046-3-6-unsat.smt2; TO          ;	 TO
quad-047-3-7-sat.smt2; TO            ;	 TO
quad-048-3-7-unsat.smt2; TO          ;	 TO
quad-049-3-7-sat.smt2; TO            ;	 TO
quad-050-3-7-unsat.smt2; TO          ;	 TO
quad-051-3-7-sat.smt2; TO            ;	 TO
quad-052-3-7-unsat.smt2; TO          ;	 TO
quad-053-3-7-sat.smt2; TO            ;	 TO
quad-054-3-7-unsat.smt2; TO          ;	 TO
quad-055-3-7-sat.smt2; TO            ;	 TO
quad-056-3-7-unsat.smt2; TO          ;	 TO
quad-057-3-7-sat.smt2; TO            ;	 TO
quad-058-3-7-unsat.smt2; TO          ;	 TO
quad-059-3-7-sat.smt2; TO            ;	 TO
quad-060-3-7-unsat.smt2; TO          ;	 TO
quad-061-4-0-sat.smt2; TO            ;	 TO
quad-062-4-0-unsat.smt2; TO          ;	 TO
quad-063-4-0-sat.smt2; TO            ;	 TO
quad-064-4-0-unsat.smt2; TO          ;	 TO
quad-065-4-1-sat.smt2; sat           ;	 4.7
quad-066-4-1-unsat.smt2; TO          ;	 TO
quad-067-4-1-sat.smt2; sat           ;	 4.48
quad-068-4-1-unsat.smt2; TO          ;	 TO
quad-069-4-1-sat.smt2; TO            ;	 TO
quad-070-4-1-unsat.smt2; TO          ;	 TO
quad-071-4-1-sat.smt2; TO            ;	 TO
quad-072-4-1-unsat.smt2; TO          ;	 TO
quad-073-4-1-sat.smt2; sat           ;	 4.95
quad-074-4-1-unsat.smt2; TO          ;	 TO
quad-075-4-2-sat.smt2; TO            ;	 TO
quad-076-4-2-unsat.smt2; TO          ;	 TO
quad-077-4-2-sat.smt2; TO            ;	 TO
quad-078-4-2-unsat.smt2; TO          ;	 TO
quad-079-4-2-sat.smt2; TO            ;	 TO
quad-080-4-2-unsat.smt2; TO          ;	 TO
quad-081-4-2-sat.smt2; sat           ;	 0.68
quad-082-4-2-unsat.smt2; TO          ;	 TO
quad-083-4-3-sat.smt2; TO            ;	 TO
quad-084-4-3-unsat.smt2; TO          ;	 TO
quad-085-4-3-sat.smt2; TO            ;	 TO
quad-086-4-3-unsat.smt2; TO          ;	 TO
quad-087-4-4-sat.smt2; TO            ;	 TO
quad-088-4-4-unsat.smt2; TO          ;	 TO
quad-089-4-4-sat.smt2; sat           ;	 2.58
quad-090-4-4-unsat.smt2; TO          ;	 TO
quad-091-4-0-sat.smt2; TO            ;	 TO
quad-092-4-0-unsat.smt2; TO          ;	 TO
quad-093-4-1-sat.smt2; sat           ;	 0.05
quad-094-4-1-unsat.smt2; TO          ;	 TO
quad-095-4-1-sat.smt2; TO            ;	 TO
quad-096-4-1-unsat.smt2; TO          ;	 TO
quad-097-4-1-sat.smt2; TO            ;	 TO
quad-098-4-1-unsat.smt2; TO          ;	 TO
quad-099-4-2-sat.smt2; TO            ;	 TO
