Timeout: 150
Number of formulas: 1000
Formula: time, sat
eq-test.txt: Sat	 0.51
eq-test2.txt: Sat	 0.16
eq-test3.txt: Sat	 0.05
eq-test4.txt: Unsat	 0.32
eq-test5.txt: Unsat	 0.03
eq-test6.txt: Sat	 3.67
eq-test7.txt: Unsat	 1.8
eq1.txt: TO	 TO
eq10.txt: Sat	 2.43
eq100.txt: TO	 TO
eq101.txt: TO	 TO
eq102.txt: Sat	 2.42
eq103.txt: Sat	 118.25
eq104.txt: TO	 TO
eq105.txt: TO	 TO
eq106.txt: Sat	 2.46
eq107.txt: TO	 TO
eq108.txt: Sat	 2.39
eq109.txt: TO	 TO
eq11.txt: TO	 TO
eq110.txt: TO	 TO
eq111.txt: TO	 TO
eq112.txt: TO	 TO
eq113.txt: TO	 TO
eq114.txt: TO	 TO
eq115.txt: Sat	 92.79
eq116.txt: TO	 TO
eq117.txt: TO	 TO
eq118.txt: Sat	 2.47
eq119.txt: TO	 TO
eq12.txt: TO	 TO
eq120.txt: Sat	 2.31
eq121.txt: Sat	 114.52
eq122.txt: Sat	 118.5
eq123.txt: TO	 TO
eq124.txt: TO	 TO
eq125.txt: TO	 TO
eq126.txt: Sat	 119.05
eq127.txt: TO	 TO
eq128.txt: TO	 TO
eq129.txt: Sat	 118.35
eq13.txt: TO	 TO
eq130.txt: TO	 TO
eq131.txt: Sat	 113.2
eq132.txt: TO	 TO
eq133.txt: TO	 TO
eq134.txt: TO	 TO
eq135.txt: TO	 TO
eq136.txt: Sat	 115.5
eq137.txt: TO	 TO
eq138.txt: Sat	 96.83
eq139.txt: Sat	 119.09
eq14.txt: Sat	 93.26
eq140.txt: TO	 TO
eq141.txt: TO	 TO
eq142.txt: Sat	 93.27
eq143.txt: TO	 TO
eq144.txt: TO	 TO
eq145.txt: Sat	 118.71
eq146.txt: TO	 TO
eq147.txt: Sat	 2.37
eq148.txt: TO	 TO
eq149.txt: TO	 TO
eq15.txt: TO	 TO
eq150.txt: TO	 TO
eq151.txt: TO	 TO
eq152.txt: TO	 TO
eq153.txt: TO	 TO
eq154.txt: TO	 TO
eq155.txt: TO	 TO
eq156.txt: TO	 TO
eq157.txt: TO	 TO
eq158.txt: TO	 TO
eq159.txt: Sat	 114.58
eq16.txt: Sat	 95.7
eq160.txt: TO	 TO
eq161.txt: TO	 TO
eq162.txt: TO	 TO
eq163.txt: TO	 TO
eq164.txt: TO	 TO
eq165.txt: Sat	 2.5
eq166.txt: Sat	 96.89
eq167.txt: TO	 TO
eq168.txt: TO	 TO
eq169.txt: TO	 TO
eq17.txt: Sat	 100.49
eq170.txt: Sat	 115.76
eq171.txt: TO	 TO
eq172.txt: Sat	 116.63
eq173.txt: TO	 TO
eq174.txt: TO	 TO
eq175.txt: Sat	 118.81
eq176.txt: TO	 TO
eq177.txt: TO	 TO
eq178.txt: TO	 TO
eq179.txt: TO	 TO
eq18.txt: TO	 TO
eq180.txt: Sat	 2.47
eq181.txt: Sat	 2.39
eq182.txt: TO	 TO
eq183.txt: TO	 TO
eq184.txt: Sat	 118.38
eq185.txt: TO	 TO
eq186.txt: Sat	 2.49
eq187.txt: Sat	 119.27
eq188.txt: TO	 TO
eq189.txt: TO	 TO
eq19.txt: TO	 TO
eq190.txt: Sat	 93.22
eq191.txt: TO	 TO
eq192.txt: TO	 TO
eq193.txt: Sat	 110.57
eq194.txt: TO	 TO
eq195.txt: TO	 TO
eq196.txt: Sat	 2.25
eq197.txt: TO	 TO
eq198.txt: TO	 TO
eq199.txt: TO	 TO
eq2.txt: Sat	 0.62
eq20.txt: TO	 TO
eq200.txt: Sat	 98.5
eq201.txt: TO	 TO
eq202.txt: Sat	 115.35
eq203.txt: TO	 TO
eq204.txt: TO	 TO
eq205.txt: Sat	 95.71
eq206.txt: TO	 TO
eq207.txt: TO	 TO
eq208.txt: TO	 TO
eq209.txt: TO	 TO
eq21.txt: TO	 TO
eq210.txt: TO	 TO
eq211.txt: TO	 TO
eq212.txt: TO	 TO
eq213.txt: TO	 TO
eq214.txt: Sat	 113.55
eq215.txt: Sat	 119.11
eq216.txt: Sat	 115.84
eq217.txt: Sat	 95.53
eq218.txt: TO	 TO
eq219.txt: TO	 TO
eq22.txt: Sat	 93.4
eq220.txt: Sat	 118.84
eq221.txt: Sat	 119.69
eq222.txt: TO	 TO
eq223.txt: TO	 TO
eq224.txt: Sat	 99.16
eq225.txt: TO	 TO
eq226.txt: TO	 TO
eq227.txt: TO	 TO
eq228.txt: TO	 TO
eq229.txt: TO	 TO
eq23.txt: TO	 TO
eq230.txt: Sat	 120.01
eq231.txt: TO	 TO
eq232.txt: TO	 TO
eq233.txt: TO	 TO
eq234.txt: TO	 TO
eq235.txt: Sat	 116.36
eq236.txt: TO	 TO
eq237.txt: TO	 TO
eq238.txt: Sat	 110.98
eq239.txt: TO	 TO
eq24.txt: TO	 TO
eq240.txt: TO	 TO
eq241.txt: TO	 TO
eq242.txt: Sat	 2.25
eq243.txt: TO	 TO
eq244.txt: TO	 TO
eq245.txt: Sat	 2.27
eq246.txt: TO	 TO
