Timeout: 10
Number of formulas: 1000
Formula: time, sat
eq-test.txt: Sat	 0.88
eq-test2.txt: Sat	 0.2
eq-test3.txt: Sat	 0.05
eq-test4.txt: Unsat	 0.55
eq-test5.txt: Unsat	 0.03
eq-test6.txt: Sat	 8.51
eq-test7.txt: Unsat	 5.89
eq1.txt: TO	 TO
eq10.txt: Sat	 5.63
eq100.txt: TO	 TO
eq101.txt: TO	 TO
eq102.txt: Sat	 5.67
eq103.txt: TO	 TO
eq104.txt: TO	 TO
eq105.txt: TO	 TO
eq106.txt: Sat	 5.9
eq107.txt: TO	 TO
eq108.txt: Sat	 5.86
eq109.txt: TO	 TO
eq11.txt: TO	 TO
eq110.txt: TO	 TO
eq111.txt: TO	 TO
eq112.txt: TO	 TO
eq113.txt: TO	 TO
eq114.txt: TO	 TO
eq115.txt: TO	 TO
eq116.txt: TO	 TO
eq117.txt: TO	 TO
eq118.txt: Sat	 5.77
eq119.txt: TO	 TO
eq12.txt: TO	 TO
eq120.txt: Sat	 5.69
eq121.txt: TO	 TO
eq122.txt: TO	 TO
eq123.txt: TO	 TO
eq124.txt: TO	 TO
eq125.txt: TO	 TO
eq126.txt: TO	 TO
eq127.txt: TO	 TO
eq128.txt: TO	 TO
eq129.txt: TO	 TO
eq13.txt: TO	 TO
eq130.txt: TO	 TO
eq131.txt: TO	 TO
eq132.txt: TO	 TO
eq133.txt: TO	 TO
eq134.txt: TO	 TO
eq135.txt: TO	 TO
eq136.txt: TO	 TO
eq137.txt: TO	 TO
eq138.txt: TO	 TO
eq139.txt: TO	 TO
eq14.txt: TO	 TO
eq140.txt: TO	 TO
eq141.txt: TO	 TO
eq142.txt: TO	 TO
eq143.txt: TO	 TO
eq144.txt: TO	 TO
eq145.txt: TO	 TO
eq146.txt: TO	 TO
eq147.txt: Sat	 5.81
eq148.txt: TO	 TO
eq149.txt: TO	 TO
eq15.txt: TO	 TO
eq150.txt: TO	 TO
eq151.txt: TO	 TO
eq152.txt: TO	 TO
eq153.txt: TO	 TO
eq154.txt: TO	 TO
eq155.txt: TO	 TO
eq156.txt: TO	 TO
eq157.txt: TO	 TO
eq158.txt: TO	 TO
eq159.txt: TO	 TO
eq16.txt: TO	 TO
eq160.txt: TO	 TO
eq161.txt: TO	 TO
eq162.txt: TO	 TO
eq163.txt: TO	 TO
eq164.txt: TO	 TO
eq165.txt: Sat	 5.93
eq166.txt: TO	 TO
eq167.txt: TO	 TO
eq168.txt: TO	 TO
eq169.txt: TO	 TO
eq17.txt: TO	 TO
eq170.txt: TO	 TO
eq171.txt: TO	 TO
eq172.txt: TO	 TO
eq173.txt: TO	 TO
eq174.txt: TO	 TO
eq175.txt: TO	 TO
eq176.txt: TO	 TO
eq177.txt: TO	 TO
eq178.txt: TO	 TO
eq179.txt: TO	 TO
eq18.txt: TO	 TO
eq180.txt: Sat	 5.82
eq181.txt: Sat	 5.89
eq182.txt: TO	 TO
eq183.txt: TO	 TO
eq184.txt: TO	 TO
eq185.txt: TO	 TO
eq186.txt: Sat	 5.81
eq187.txt: TO	 TO
eq188.txt: TO	 TO
eq189.txt: TO	 TO
eq19.txt: TO	 TO
eq190.txt: TO	 TO
eq191.txt: TO	 TO
eq192.txt: TO	 TO
eq193.txt: TO	 TO
eq194.txt: TO	 TO
eq195.txt: TO	 TO
eq196.txt: Sat	 5.86
eq197.txt: TO	 TO
eq198.txt: TO	 TO
eq199.txt: TO	 TO
eq2.txt: Sat	 1.12
eq20.txt: TO	 TO
eq200.txt: TO	 TO
eq201.txt: TO	 TO
eq202.txt: TO	 TO
eq203.txt: TO	 TO
eq204.txt: TO	 TO
eq205.txt: TO	 TO
eq206.txt: TO	 TO
eq207.txt: TO	 TO
eq208.txt: TO	 TO
eq209.txt: TO	 TO
eq21.txt: TO	 TO
eq210.txt: TO	 TO
eq211.txt: TO	 TO
eq212.txt: TO	 TO
eq213.txt: TO	 TO
eq214.txt: TO	 TO
eq215.txt: TO	 TO
eq216.txt: TO	 TO
eq217.txt: TO	 TO
eq218.txt: TO	 TO
eq219.txt: TO	 TO
eq22.txt: TO	 TO
eq220.txt: TO	 TO
eq221.txt: TO	 TO
eq222.txt: TO	 TO
eq223.txt: TO	 TO
eq224.txt: TO	 TO
eq225.txt: TO	 TO
eq226.txt: TO	 TO
eq227.txt: TO	 TO
eq228.txt: TO	 TO
eq229.txt: TO	 TO
eq23.txt: TO	 TO
eq230.txt: TO	 TO
eq231.txt: TO	 TO
eq232.txt: TO	 TO
eq233.txt: TO	 TO
eq234.txt: TO	 TO
eq235.txt: TO	 TO
eq236.txt: TO	 TO
eq237.txt: TO	 TO
eq238.txt: TO	 TO
eq239.txt: TO	 TO
eq24.txt: TO	 TO
eq240.txt: TO	 TO
eq241.txt: TO	 TO
eq242.txt: Sat	 5.79
eq243.txt: TO	 TO
eq244.txt: TO	 TO
eq245.txt: Sat	 5.73
eq246.txt: TO	 TO
eq247.txt: TO	 TO
eq248.txt: TO	 TO
eq249.txt: TO	 TO
eq25.txt: TO	 TO
eq250.txt: TO	 TO
eq251.txt: TO	 TO
eq252.txt: Sat	 5.54
eq253.txt: TO	 TO
eq254.txt: TO	 TO
eq255.txt: TO	 TO
eq256.txt: TO	 TO
eq257.txt: TO	 TO
eq258.txt: TO	 TO
eq259.txt: TO	 TO
eq26.txt: TO	 TO
eq260.txt: TO	 TO
eq261.txt: TO	 TO
eq262.txt: Sat	 5.8
eq263.txt: TO	 TO
eq264.txt: Sat	 3.62
eq265.txt: TO	 TO
eq266.txt: TO	 TO
eq267.txt: TO	 TO
eq268.txt: TO	 TO
eq269.txt: TO	 TO
eq27.txt: TO	 TO
eq270.txt: TO	 TO
eq271.txt: TO	 TO
eq272.txt: TO	 TO
eq273.txt: TO	 TO
eq274.txt: TO	 TO
eq275.txt: TO	 TO
eq276.txt: TO	 TO
eq277.txt: TO	 TO
eq278.txt: TO	 TO
eq279.txt: TO	 TO
eq28.txt: TO	 TO
eq280.txt: TO	 TO
eq281.txt: TO	 TO
eq282.txt: TO	 TO
eq283.txt: TO	 TO
eq284.txt: Sat	 5.8
eq285.txt: TO	 TO
eq286.txt: Sat	 3.56
eq287.txt: TO	 TO
eq288.txt: TO	 TO
eq289.txt: TO	 TO
eq29.txt: TO	 TO
eq290.txt: TO	 TO
eq291.txt: TO	 TO
eq292.txt: TO	 TO
eq293.txt: TO	 TO
eq294.txt: TO	 TO
eq295.txt: TO	 TO
eq296.txt: TO	 TO
eq297.txt: TO	 TO
eq298.txt: TO	 TO
eq299.txt: TO	 TO
eq3.txt: TO	 TO
eq30.txt: TO	 TO
eq300.txt: TO	 TO
eq301.txt: TO	 TO
eq302.txt: TO	 TO
eq303.txt: TO	 TO
eq304.txt: TO	 TO
eq305.txt: TO	 TO
eq306.txt: TO	 TO
eq307.txt: TO	 TO
eq308.txt: TO	 TO
eq309.txt: TO	 TO
eq31.txt: TO	 TO
eq310.txt: TO	 TO
eq311.txt: TO	 TO
eq312.txt: TO	 TO
eq313.txt: TO	 TO
eq314.txt: TO	 TO
eq315.txt: TO	 TO
eq316.txt: Sat	 5.51
eq317.txt: TO	 TO
eq318.txt: TO	 TO
eq319.txt: TO	 TO
eq32.txt: TO	 TO
eq320.txt: TO	 TO
eq321.txt: TO	 TO
eq322.txt: TO	 TO
eq323.txt: TO	 TO
eq324.txt: TO	 TO
eq325.txt: TO	 TO
eq326.txt: TO	 TO
eq327.txt: TO	 TO
eq328.txt: Sat	 5.66
eq329.txt: TO	 TO
eq33.txt: TO	 TO
eq330.txt: TO	 TO
eq331.txt: TO	 TO
eq332.txt: Sat	 5.74
eq333.txt: TO	 TO
eq334.txt: TO	 TO
eq335.txt: TO	 TO
eq336.txt: TO	 TO
eq337.txt: TO	 TO
eq338.txt: TO	 TO
eq339.txt: Sat	 5.84
eq34.txt: TO	 TO
eq340.txt: Sat	 5.75
eq341.txt: Sat	 5.64
eq342.txt: TO	 TO
eq343.txt: Sat	 3.57
eq344.txt: TO	 TO
eq345.txt: TO	 TO
eq346.txt: TO	 TO
eq347.txt: TO	 TO
eq348.txt: TO	 TO
eq349.txt: TO	 TO
eq35.txt: TO	 TO
eq350.txt: Sat	 3.49
eq351.txt: TO	 TO
eq352.txt: TO	 TO
eq353.txt: Sat	 5.74
eq354.txt: TO	 TO
eq355.txt: TO	 TO
eq356.txt: TO	 TO
eq357.txt: TO	 TO
eq358.txt: Sat	 5.71
eq359.txt: TO	 TO
eq36.txt: TO	 TO
eq360.txt: TO	 TO
eq361.txt: TO	 TO
eq362.txt: TO	 TO
eq363.txt: TO	 TO
eq364.txt: TO	 TO
eq365.txt: TO	 TO
eq366.txt: TO	 TO
eq367.txt: TO	 TO
eq368.txt: TO	 TO
eq369.txt: TO	 TO
eq37.txt: TO	 TO
eq370.txt: TO	 TO
eq371.txt: TO	 TO
eq372.txt: TO	 TO
eq373.txt: TO	 TO
eq374.txt: Sat	 5.66
eq375.txt: TO	 TO
eq376.txt: TO	 TO
eq377.txt: TO	 TO
eq378.txt: TO	 TO
eq379.txt: Sat	 5.69
eq38.txt: TO	 TO
eq380.txt: TO	 TO
eq381.txt: TO	 TO
eq382.txt: TO	 TO
eq383.txt: TO	 TO
eq384.txt: TO	 TO
eq385.txt: TO	 TO
eq386.txt: TO	 TO
eq387.txt: TO	 TO
eq388.txt: TO	 TO
eq389.txt: TO	 TO
eq39.txt: TO	 TO
eq390.txt: Sat	 3.53
eq391.txt: TO	 TO
eq392.txt: TO	 TO
eq393.txt: Sat	 3.73
eq394.txt: Sat	 5.53
eq395.txt: TO	 TO
eq396.txt: TO	 TO
eq397.txt: TO	 TO
eq398.txt: TO	 TO
eq399.txt: TO	 TO
eq4.txt: TO	 TO
eq40.txt: TO	 TO
eq400.txt: TO	 TO
eq401.txt: TO	 TO
eq402.txt: TO	 TO
eq403.txt: Sat	 3.52
eq404.txt: TO	 TO
eq405.txt: TO	 TO
eq406.txt: TO	 TO
eq407.txt: Sat	 5.79
